country,capital,
Afghanistan,Kabul,
Aland Islands,Mariehamn,
Albania,Tirana,
Algeria,Algiers,
American Samoa,Pago Pago,
Andorra,Andorra la Vella,
Angola,Luanda,
Anguilla,The Valley,
Antarctica,N/A,
Antigua and Barbuda,Saint John's,
Argentina,Buenos Aires,
Armenia,Yerevan,
Aruba,Oranjestad,
Australia,Canberra,
Austria,Vienna,
Azerbaijan,Baku,
Bahamas,Nassau,
Bahrain,Manama,
Bangladesh,Dhaka,
Barbados,Bridgetown,
Belarus,Minsk,
Belgium,Brussels,
Belize,Belmopan,
Benin,Porto-Novo,
Bermuda,Hamilton,
Bhutan,Thimphu,
Bolivia,La Paz,
Bosnia and Herzegovina,Sarajevo,
Botswana,Gaborone,
Brazil,Brasilia,
British Indian Ocean Territory,Diego Garcia,
British Virgin Islands,Road Town,
Brunei Darussalam,Bandar Seri Begawan,
Bulgaria,Sofia,
Burkina Faso,Ouagadougou,
Burundi,Bujumbura,
Cambodia,Phnom Penh,
Cameroon,Yaounde,
Canada,Ottawa,
Cape Verde,Praia,
Cayman Islands,George Town,
Central African Republic,Bangui,
Chad,N'Djamena,
Chile,Santiago,
China,Beijing,
Christmas Island,The Settlement,
Cocos Islands,West Island,
Colombia,Bogota,
Comoros,Moroni,
Cook Islands,Avarua,
Costa Rica,San Jose,
Cote d'Ivoire,Yamoussoukro,
Croatia,Zagreb,
Cuba,Havana,
Curaçao,Willemstad,
Cyprus,Nicosia,
Czech Republic,Prague,
Democratic Republic of the Congo,Kinshasa,
Denmark,Copenhagen,
Djibouti,Djibouti,
Dominica,Roseau,
Dominican Republic,Santo Domingo,
Ecuador,Quito,
Egypt,Cairo,
El Salvador,San Salvador,
Equatorial Guinea,Malabo,
Eritrea,Asmara,
Estonia,Tallinn,
Ethiopia,Addis Ababa,
Falkland Islands,Stanley,
Faroe Islands,Torshavn,
Federated States of Micronesia,Palikir,
Fiji,Suva,
Finland,Helsinki,
France,Paris,
French Polynesia,Papeete,
French Southern and Antarctic Lands,Port-aux-Français,
Gabon,Libreville,
Georgia,Tbilisi,
Germany,Berlin,
Ghana,Accra,
Gibraltar,Gibraltar,
Greece,Athens,
Greenland,Nuuk,
Grenada,Saint George's,
Guam,Hagatna,
Guatemala,Guatemala City,
Guernsey,Saint Peter Port,
Guinea,Conakry,
Guinea-Bissau,Bissau,
Guyana,Georgetown,
Haiti,Port-au-Prince,
Heard Island and McDonald Islands,N/A,
Honduras,Tegucigalpa,
Hong Kong,N/A,
Hungary,Budapest,
Iceland,Reykjavik,
India,New Delhi,
Indonesia,Jakarta,
Iran,Tehran,
Iraq,Baghdad,
Ireland,Dublin,
Isle of Man,Douglas,
Israel,Jerusalem,
Italy,Rome,
Jamaica,Kingston,
Japan,Tokyo,
Jersey,Saint Helier,
Jordan,Amman,
Kazakhstan,Astana,
Kenya,Nairobi,
Kiribati,Tarawa,
Kosovo,Pristina,
Kuwait,Kuwait City,
Kyrgyzstan,Bishkek,
Laos,Vientiane,
Latvia,Riga,
Lebanon,Beirut,
Lesotho,Maseru,
Liberia,Monrovia,
Libya,Tripoli,
Liechtenstein,Vaduz,
Lithuania,Vilnius,
Luxembourg,Luxembourg,
Macau,N/A,
Macedonia,Skopje,
Madagascar,Antananarivo,
Malawi,Lilongwe,
Malaysia,Kuala Lumpur,
Maldives,Male,
Mali,Bamako,
Malta,Valletta,
Marshall Islands,Majuro,
Mauritania,Nouakchott,
Mauritius,Port Louis,
Mexico,Mexico City,
Moldova,Chisinau,
Monaco,Monaco,
Mongolia,Ulaanbaatar,
Montenegro,Podgorica,
Montserrat,Plymouth,
Morocco,Rabat,
Mozambique,Maputo,
Myanmar,Rangoon,
Namibia,Windhoek,
Nauru,Yaren,
Nepal,Kathmandu,
Netherlands,Amsterdam,
New Caledonia,Noumea,
New Zealand,Wellington,
Nicaragua,Managua,
Niger,Niamey,
Nigeria,Abuja,
Niue,Alofi,
Norfolk Island,Kingston,
North Korea,Pyongyang,
Northern Cyprus,North Nicosia,
Northern Mariana Islands,Saipan,
Norway,Oslo,
Oman,Muscat,
Pakistan,Islamabad,
Palau,Melekeok,
Palestine,Jerusalem,
Panama,Panama City,
Papua New Guinea,Port Moresby,
Paraguay,Asuncion,
Peru,Lima,
Philippines,Manila,
Pitcairn Islands,Adamstown,
Poland,Warsaw,
Portugal,Lisbon,
Puerto Rico,San Juan,
Qatar,Doha,
Republic of Congo,Brazzaville,
Romania,Bucharest,
Russia,Moscow,
Rwanda,Kigali,
Saint Barthelemy,Gustavia,
Saint Helena,Jamestown,
Saint Kitts and Nevis,Basseterre,
Saint Lucia,Castries,
Saint Martin,Marigot,
Saint Pierre and Miquelon,Saint-Pierre,
Saint Vincent and the Grenadines,Kingstown,
Samoa,Apia,
San Marino,San Marino,
Sao Tome and Principe,Sao Tome,
Saudi Arabia,Riyadh,
Senegal,Dakar,
Serbia,Belgrade,
Seychelles,Victoria,
Sierra Leone,Freetown,
Singapore,Singapore,
Sint Maarten,Philipsburg,
Slovakia,Bratislava,
Slovenia,Ljubljana,
Solomon Islands,Honiara,
Somalia,Mogadishu,
Somaliland,Hargeisa,
South Africa,Pretoria,
South Georgia and South Sandwich Islands,King Edward Point,
South Korea,Seoul,
South Sudan,Juba,
Spain,Madrid,
Sri Lanka,Colombo,
Sudan,Khartoum,
Suriname,Paramaribo,
Svalbard,Longyearbyen,
Swaziland,Mbabane,
Sweden,Stockholm,
Switzerland,Bern,
Syria,Damascus,
Taiwan,Taipei,
Tajikistan,Dushanbe,
Tanzania,Dar es Salaam,
Thailand,Bangkok,
The Gambia,Banjul,
Timor-Leste,Dili,
Togo,Lome,
Tokelau,Atafu,
Tonga,Nuku'alofa,
Trinidad and Tobago,Port of Spain,
Tunisia,Tunis,
Turkey,Ankara,
Turkmenistan,Ashgabat,
Turks and Caicos Islands,Grand Turk,
Tuvalu,Funafuti,
Uganda,Kampala,
Ukraine,Kyiv,
United Arab Emirates,Abu Dhabi,
United Kingdom,London,
United States,Washington,Central America
Uruguay,Montevideo,
US Minor Outlying Islands,Washington,Australia
US Virgin Islands,Charlotte Amalie,
Uzbekistan,Tashkent,
Vanuatu,Port-Vila,
Vatican City,Vatican City,
Venezuela,Caracas,
Vietnam,Hanoi,
Wallis and Futuna,Mata-Utu,
Western Sahara,El-Aaiún,
Yemen,Sanaa,
Zambia,Lusaka,
Zimbabwe,Harare,