letter,base10,base10_0,base2,base2_0,base2_ab,base2_0_ab,base2_ab_reverse,base2_0_ab_reverse,base3,base3_0,base3_abc,base3_0_abc,base8,base8_0,base16,base16_0,ascii_lower_base10,ascii_upper_base10,ascii_lower_base8,ascii_upper_base8,ascii_lower_base2,ascii_upper_base10,ascii_lower_base16,ascii_upper_base16,ascii_char,atbash,morse_ab,morse_ab_reverse,semaphore,braille_ab,braille_ab_reverse,polybius,cellphone,qwerty,qwerty2,v,keyboard,bacon1_ab,bacon1_ab_reverse,bacon2_ab,bacon2_ab_reverse
a,1,0,1,0,AAAAB,AAAAA,BBBBA,BBBBB,1,0,AAB,AAA,1,0,1,0,97,65,141,101,1100001,10000001,61,41,SOH,Z,AB,BA,78,ABBBBB,BAAAAA,11,21,Q,K,13,21,AAAAA,BBBBB,AAAAA,BBBBB
b,2,1,10,1,AAABA,AAAAB,BBBAB,BBBBA,2,1,AAC,AAB,2,1,2,1,98,66,142,102,1100010,10000010,62,42,STX,Y,BAAA,ABBB,48,AABBBB,BBAAAA,12,22,W,B,58,35,AAAAB,BBBBA,AAAAB,BBBBA
c,3,2,11,10,AAABB,AAABA,BBBAA,BBBAB,10,2,ABA,AAC,3,2,3,2,99,67,143,103,1100011,10000011,63,43,ETX,X,BABA,ABAB,18,ABBABB,BAABAA,13,23,E,V,36,33,AAABA,BBBAB,AAABA,BBBAB
d,4,3,100,11,AABAA,AAABB,BBABB,BBBAA,11,10,ABB,ABA,4,3,4,3,100,68,144,104,1100100,10000100,64,44,EOT,W,BAA,ABB,28,ABBAAB,BAABBA,14,31,R,M,35,23,AAABB,BBBAA,AAABB,BBBAA
e,5,4,101,100,AABAB,AABAA,BBABA,BBABB,12,11,ABC,ABB,5,4,5,4,101,69,145,105,1100101,10000101,65,45,ENQ,V,A,B,38,ABBBAB,BAAABA,15,32,T,C,34,13,AABAA,BBABB,AABAA,BBABB
f,6,5,110,101,AABBA,AABAB,BBAAB,BBABA,20,12,ACA,ABC,6,5,6,5,102,70,146,106,1100110,10000110,66,46,ACK,U,AABA,BBAB,68,AABABB,BBABAA,21,33,Y,N,46,24,AABAB,BBABA,AABAB,BBABA
g,7,6,111,110,AABBB,AABBA,BBAAA,BBAAB,21,20,ACB,ACA,7,6,7,6,103,71,147,107,1100111,10000111,67,47,BEL,T,BBA,AAB,98,AABAAB,BBABBA,22,41,U,O,57,25,AABBA,BBAAB,AABBA,BBAAB
h,8,7,1000,111,ABAAA,AABBB,BABBB,BBAAA,22,21,ACC,ACB,10,7,8,7,104,72,150,110,1101000,10001000,68,48,BS,S,AAAA,BBBB,47,AABBAB,BBAABA,23,42,I,P,68,26,AABBB,BBAAA,AABBB,BBAAA
i,9,8,1001,1000,ABAAB,ABAAA,BABBA,BABBB,100,22,BAA,ACC,11,10,9,8,105,73,151,111,1101001,10001001,69,49,TAB,R,AA,BB,17,BABABB,ABABAA,24,43,O,H,89,18,ABAAA,BABBB,ABAAA,BABBB
j,10,9,1010,1001,ABABA,ABAAB,BABAB,BABBA,101,100,BAB,BAA,12,11,A,9,106,74,152,112,1101010,10001010,6A,4A,LF,Q,ABBB,BAAA,26,BABAAB,ABABBA,24,51,P,Q,79,27,ABAAB,BABBA,ABAAA,BABBB
k,11,10,1011,1010,ABABB,ABABA,BABAA,BABAB,102,101,BAC,BAB,13,12,B,A,107,75,153,113,1101011,10001011,6B,4B,VT,P,BAB,ABA,27,ABABBB,BABAAA,25,52,A,R,80,28,ABABA,BABAB,ABAAB,BABBA
l,12,11,1100,1011,ABBAA,ABABB,BAABB,BABAA,110,102,BBA,BAC,14,13,C,B,108,76,154,114,1101100,10001100,6C,4C,FF,O,ABAA,BABB,37,AAABBB,BBBAAA,31,53,S,S,9-,29,ABABB,BABAA,ABABA,BABAB
m,13,12,1101,1100,ABBAB,ABBAA,BAABA,BAABB,111,110,BBB,BBA,15,14,D,C,109,77,155,115,1101101,10001101,6D,4D,CR,N,BB,AA,67,ABAABB,BABBAA,32,61,D,Z,70,37,ABBAA,BAABB,ABABB,BABAA
n,14,13,1110,1101,ABBBA,ABBAB,BAAAB,BAABA,112,111,BBC,BBB,16,15,E,D,110,78,156,116,1101110,10001110,6E,4E,SO,M,BA,AB,79,ABAAAB,BABBBA,33,62,F,Y,69,36,ABBAB,BAABA,ABBAA,BAABB
o,15,14,1111,1110,ABBBB,ABBBA,BAAAA,BAAAB,120,112,BCA,BBC,17,16,F,E,111,79,157,117,1101111,10001111,6F,4F,SI,L,BBB,AAA,14,ABABAB,BABABA,34,63,G,I,90,19,ABBBA,BAAAB,ABBAB,BAABA
p,16,15,10000,1111,BAAAA,ABBBB,ABBBB,BAAAA,121,120,BCB,BCA,20,17,10,F,112,80,160,120,1110000,10010000,70,50,DLE,K,ABBA,BAAB,24,AAAABB,BBBBAA,35,71,H,J,0-,10,ABBBB,BAAAA,ABBBA,BAAAB
q,17,16,10001,10000,BAAAB,BAAAA,ABBBA,ABBBB,122,121,BCC,BCB,21,20,11,10,113,81,161,121,1110001,10010001,71,51,DC1,J,BBAB,AABA,34,AAAAAB,BBBBBA,41,72,J,A,12,11,BAAAA,ABBBB,ABBBB,BAAAA
r,18,17,10010,10001,BAABA,BAAAB,ABBAB,ABBBA,200,122,CAA,BCC,22,21,12,11,114,82,162,122,1110010,10010010,72,52,DC2,I,ABA,BAB,46,AAABAB,BBBABA,42,73,K,D,45,14,BAAAB,ABBBA,BAAAA,ABBBB
s,19,18,10011,10010,BAABB,BAABA,ABBAA,ABBAB,201,200,CAB,CAA,23,22,13,12,115,83,163,123,1110011,10010011,73,53,DC3,H,AAA,BBB,49,BAAABB,ABBBAA,43,74,L,L,24,22,BAABA,ABBAB,BAAAB,ABBBA
t,20,19,10100,10011,BABAA,BAABB,ABABB,ABBAA,202,201,CAC,CAB,24,23,14,13,116,84,164,124,1110100,10010100,74,54,DC4,G,B,A,12,BAAAAB,ABBBBA,44,81,Z,E,56,15,BAABB,ABBAA,BAABA,ABBAB
u,21,20,10101,10100,BABAB,BABAA,ABABA,ABABB,210,202,CBA,CAC,25,24,15,14,117,85,165,125,1110101,10010101,75,55,NAK,F,AAB,BBA,13,ABABBA,BABAAB,45,82,X,G,78,17,BABAA,ABABB,BAABA,ABBAB
v,22,21,10110,10101,BABBA,BABAB,ABAAB,ABABA,211,210,CBB,CBA,26,25,16,15,118,86,166,126,1110110,10010110,76,56,SYN,E,AAAB,BBBA,29,AAABBA,BBBAAB,51,83,C,W,47,34,BABAB,ABABA,BAABB,ABBAA
w,23,22,10111,10110,BABBB,BABBA,ABAAA,ABAAB,212,211,CBC,CBB,27,26,17,16,119,87,167,127,1110111,10010111,77,57,ETB,D,ABB,BAA,36,BABAAA,ABABBB,52,91,V,B,23,12,BABBA,ABAAB,BABAA,ABABB
x,24,23,11000,10111,BBAAA,BABBB,AABBB,ABAAA,220,212,CCA,CBC,30,27,18,17,120,88,170,130,1111000,10011000,78,58,CAN,C,BAAB,ABBA,39,ABAABA,BABBAB,53,92,B,U,25,32,BABBB,ABAAA,BABAB,ABABA
y,25,24,11001,11000,BBAAB,BBAAA,AABBA,AABBB,221,220,CCB,CCA,31,30,19,18,121,89,171,131,1111001,10011001,79,59,EM,B,BABB,ABAA,16,ABAAAA,BABBBB,54,93,N,F,67,16,BBAAA,AABBB,BABBA,ABAAB
z,26,25,11010,11001,BBABA,BBAAB,AABAB,AABBA,222,221,CCC,CCB,32,31,1A,19,122,90,172,132,1111010,10011010,7A,5A,SUB,A,BBAA,AABB,69,ABABAA,BABABB,55,94,M,T,14,31,BBAAB,AABBA,BABBB,ABAAA